scenario_name	beta	gamma	sim_id	p_beta_true	p_beta_hard	p_beta_soft	p_gamma_true	p_gamma_hard	p_gamma_soft	est_beta_true	est_beta_hard	est_beta_soft	est_gamma_true	est_gamma_hard	est_gamma_soft	se_beta_true	se_beta_hard	se_beta_soft	se_gamma_true	se_gamma_hard	se_gamma_soft
high_separation	-0.25	-0.1	18	0.007344579401791402	0.08345611698938142	0.02236913554667301	0.019069962117883907	5.586841728955577e-6	7.952091145450346e-8	-0.21888164009773692	-0.14156246000337494	-0.16769943009849198	-0.08633159978632524	-0.1409144374345794	-0.13552551333199098	0.08164779748984129	0.08178189239029061	0.07336514590117713	0.036777689648222034	0.030887148148348153	0.025151786609444952
high_separation	-0.25	-0.1	19	6.585039065908748e-6	2.6639596205727635e-4	9.064733266969026e-5	0.1601077276199977	0.01938276092058902	0.00199762689553841	-0.36542134213349337	-0.2956779225349722	-0.28648169192797834	-0.05493535368294026	-0.07908444413832397	-0.0908707486787506	0.08108441016470488	0.08109742437223662	0.07303807694455958	0.039083055506361444	0.0337784425792339	0.02936362851325896
high_separation	-0.25	-0.1	20	2.269721478971169e-4	2.0167702609086253e-5	1.1733418967967154e-6	3.357724770757395e-6	8.4723090933776e-6	4.644558981556462e-8	-0.292093672596097	-0.3378026362828329	-0.347620454932905	-0.17119083667143978	-0.13983346589481918	-0.142007762789771	0.07922400253973348	0.0792401066513604	0.0713053056529941	0.036659380347108604	0.03126460904013662	0.02588747576212373
high_separation	-0.25	-0.1	21	0.0161917785347142	0.12948657195041013	0.07639546895538882	0.07646563787823586	0.001935008194054223	3.103190602054688e-4	-0.18355869720251283	-0.11594214081938953	-0.12070489366960063	-0.06720380764956367	-0.10087181496918719	-0.10465714131841344	0.07633762736433526	0.07647244462529391	0.06808281091047885	0.03789872018001797	0.03246233906899441	0.028967941489528956
high_separation	-0.25	-0.1	22	0.03682570862192427	0.03982878443875712	0.005164679911660085	1.0705433409445863e-5	3.826687922463847e-6	6.736097630594065e-7	-0.1657166550742598	-0.16351763895474034	-0.19819709513188402	-0.16843552735403627	-0.15117056455004746	-0.1406108008390377	0.07937795752048163	0.07955048903979382	0.07079305365378802	0.03809025999146106	0.03256037868691479	0.02820769687243515
high_separation	-0.25	-0.1	23	0.006943215957203146	0.023358450407783293	0.004083542747036099	2.342789985114177e-4	4.3570131133462223e-7	1.9123919206730485e-8	-0.21501671453024446	-0.18060522090023923	-0.20867975423109628	-0.1371425872227627	-0.15691444934856089	-0.14782955502583078	0.07964893076138814	0.07964877229976726	0.07258524911686712	0.037163999130504846	0.03088153981860214	0.026198202858688693
high_separation	-0.25	-0.1	24	3.526616516277783e-5	0.001876381794545741	0.0032836580989080923	0.013323665824687166	2.4415679813340087e-5	1.9167101884748725e-8	-0.33164419893210517	-0.24989758981805302	-0.21083132086086634	-0.09361608320487781	-0.1368029607805981	-0.16591734627618235	0.08017530615005414	0.08037536819040036	0.07162834963692856	0.03776803394437597	0.032291430109173784	0.02940575809215786
high_separation	-0.25	-0.1	25	7.421979391596823e-4	1.9811826781481793e-4	7.132384587979706e-5	0.0016717822515966976	5.001498062170339e-4	2.916790856780828e-6	-0.26716435658311416	-0.29532759709209283	-0.27673404992369766	-0.12473872066321227	-0.11752038684731721	-0.1361390497697903	0.07919507222426245	0.07935918961168413	0.06952805173514538	0.03959410469620964	0.03366987504751889	0.02902745188782708
high_separation	-0.25	-0.1	26	0.0013647503542344498	0.030961902466818843	0.008192714262938725	1.455039905680378e-4	4.248188004335444e-7	1.0488021669246976e-8	-0.2534938059087648	-0.17150325374365688	-0.18780427569227637	-0.14361009804131172	-0.1623728068977519	-0.1639698208480616	0.0791672323394242	0.07948937476378412	0.07095873438815903	0.03768094268489063	0.03192749833880186	0.028531894825710467
high_separation	-0.25	-0.1	27	2.544988297459332e-4	0.01093326952935138	0.0014519791612991283	0.014516804838139538	1.1322374385274077e-4	2.1253202384853445e-5	-0.28837073540914976	-0.20041336960054348	-0.22072454087336416	-0.09740538904532357	-0.12720789442761232	-0.12312355378436506	0.07883958298970252	0.07875331884134483	0.06922395517502657	0.039791311247889545	0.032839319277921816	0.028892281167664857
