Antibody	Beta_Effect	Gamma_Effect	Power_beta_true	Power_beta_hard	Power_beta_soft	Bias_beta_true	Bias_beta_hard	Bias_beta_soft	MSE_beta_true	MSE_beta_hard	MSE_beta_soft	Power_gamma_true	Power_gamma_hard	Power_gamma_soft	Bias_gamma_true	Bias_gamma_hard	Bias_gamma_soft	MSE_gamma_true	MSE_gamma_hard	MSE_gamma_soft
cmv_pp150	0	-0.1	0.1	0.4	0.6	0.0043616300481188995	-0.1367414751786033	-0.12421783012618053	0.0060510947688716945	0.025712138352113053	0.01873121846232467	0.8	0.4	0.6	-0.011475252683692563	0.06751375162135602	0.06121256370890719	0.0013581752593878273	0.005241777269120898	0.0042123910787777805
cmv_pp150	0	-0.05	0.1	0.1	0.2	0.007497670606793935	-0.07066347733636583	-0.07381850129322501	0.007563645416953909	0.009161632120015379	0.006820861358687217	0.4	0.1	0.3	-0.0019323646954108493	0.034620962010222064	0.034057789278949	0.0011539949374093578	0.0015971033968273343	0.0014276905292641838
cmv_pp150	0	0	0.1	0.1	0.1	-0.049789153736189785	-0.004076158684296283	-0.012448334564747747	0.007810990117970817	0.00740787090557687	0.004960063805075124	0.1	0.1	0	-0.003826905002056085	-0.006109263429894079	-0.0038643518726114105	0.0012927108166664052	4.994085479640714e-4	2.6228827446515314e-4
cmv_pp150	0	0.05000000000000002	0	0.1	0.1	0.03797300696369345	0.06306256119637893	0.055068352421323956	0.006811900302145216	0.009979887641407765	0.008355967836090526	0.4	0.3	0.4	0.003833947400280927	-0.027463872991583406	-0.022402693025640612	0.0018262724287670038	0.0016159007271890611	0.0013347490067201519
cmv_pp150	0	0.1	0	0.1	0.1	-0.010030479791523073	0.07329649948588035	0.07945572287066449	0.004171462941920791	0.008092719358623268	0.009170319638265409	0.6	0.5	0.7	-0.010825396820492633	-0.060607972155719114	-0.05652071740214583	0.0015716302802645772	0.004033711476541306	0.003495685757046437
cmv_pp150	0.125	-0.1	0.3	0.2	0.3	-0.044146181667573225	-0.20008308890841175	-0.2171785111424806	0.00885195926640402	0.04814247117568617	0.0496539393580563	0.8	0.6	0.7	-0.010357508927605723	0.05332233304542173	0.052427387311826744	0.001716678720945249	0.00313058139452348	0.003143063931944848
cmv_pp150	0.125	-0.05	0.4	0.1	0.1	-0.005315873530454908	-0.15926141390238713	-0.15563159226133733	0.003341057598892432	0.03388215418022201	0.030353185988006508	0.4	0	0.1	0.0012238524181654934	0.03779113374571457	0.03446070906142035	0.0014327779927232373	0.0016665323385261434	0.0014009336855929058
cmv_pp150	0.125	0	0.6	0	0	0.03633951610172773	-0.07540800686774163	-0.07067337343936383	0.009383559723484605	0.010381977165122394	0.008620284464270744	0.2	0.1	0.1	0.0192695415504939	0.008444520820047112	0.0068689451322002035	0.0019564277171326503	5.423045451496747e-4	4.2001187314636866e-4
cmv_pp150	0.125	0.05000000000000002	0.4	0.4	0.5	-0.007682939586419208	-0.028179581701338875	-0.03205859151843255	0.0031790076142031937	0.007591721782091431	0.006212868335775614	0.5	0.4	0.4	0.003978606687019572	-0.022253367484655846	-0.02060610760566158	9.510379730866491e-4	0.001443900217102408	0.0013810153523564734
cmv_pp150	0.125	0.1	0.7	0.7	0.7	0.07842040841850688	0.07198234942368752	0.04840470519551258	0.01667665143974771	0.01093198175760459	0.005952548508426921	0.8	0.3	0.8	-0.011036358114354236	-0.05932942079675635	-0.0520059462764918	0.0012608054620054812	0.0039838931333719095	0.00292077745802905
